Count,Time,Count,LocatorTime
552,4451001,552,4441971
553,4143572,553,4134955
554,3763057,554,3754301
555,3491160,555,3483430
556,3663527,556,3655227
557,4578633,557,4569516
558,4373300,558,4364807
559,2937119,559,2929198
560,4837314,560,4829296
561,3965455,561,3955930
562,3914495,562,3906117
563,3922574,563,3913033
564,4372590,564,4363982
565,4895309,565,4886351
566,4082327,566,4073361
567,4331285,567,4322579
568,5239970,568,5231473
569,4483571,569,4474493
570,3413343,570,3404670
571,3912155,571,3903636
572,3658333,572,3650205
573,4216096,573,4207900
574,3395198,574,3386556
575,4200033,575,4177166
576,4953410,576,4932631
577,3572597,577,3546949
578,4654346,578,4635434
579,3486507,579,3445412
580,4420446,580,4412229
581,4765542,581,4757946
582,4737442,582,4729140
583,3611012,583,3603953
584,3637849,584,3630763
585,3492194,585,3484674
586,4057694,586,4049366
587,3246971,587,3238586
588,3194098,588,3185435
589,4302077,589,4294289
590,3868670,590,3861076
591,3353468,591,3344559
592,3955729,592,3947869
593,3380907,593,3372512
594,2849915,594,2842857
595,4084304,595,4076178
596,3513530,596,3506130
597,5314363,597,5306628
598,3628055,598,3619982
599,3116481,599,3107754
600,4643478,600,4635031
601,4525728,601,4517778
602,4270016,602,4262816
603,3328115,603,3321266
604,3915235,604,3906886
605,3840651,605,3832316
606,3477944,606,3470070
607,3083205,607,3076385
608,3496428,608,3489528
609,4100052,609,4093793
610,3784783,610,3777671
611,3511090,611,3504023
612,3643405,612,3636905
613,3842847,613,3836397
614,3634640,614,3628024
615,3189656,615,3182499
616,3993709,616,3987015
617,3533657,617,3527164
618,4544989,618,4539490
619,3896523,619,3889997
620,4218335,620,4211803
621,4434272,621,4426907
622,2746621,622,2739899
623,3930121,623,3924372
624,3641979,624,3634281
625,2964416,625,2957980
626,3525481,626,3518152
627,3276444,627,3269956
628,2462746,628,2454796
629,3867004,629,3860591
630,3647604,630,3639994
631,3641058,631,3634117
632,3635374,632,3628874
633,3853281,633,3846557
634,3664445,634,3657425
635,4901824,635,4894806
636,4954162,636,4944477
637,4678694,637,4670562
638,4611013,638,4603070
639,3564022,639,3556893
640,3833871,640,3827381
641,3615871,641,3608711
642,3187797,642,3181358
643,3631472,643,3622920
644,4118734,644,4111548
645,3957192,645,3949977
646,3650418,646,3642944
647,3858156,647,3851310
648,3640686,648,3633627
649,3771035,649,3764758
650,2731168,650,2724159
651,3343086,651,3336356
652,3017346,652,3010923
653,2780040,653,2774204
654,3320592,654,3315005
655,3436864,655,3431171
656,4392440,656,4383977
657,3559657,657,3553359
658,2934755,658,2928345
659,3347893,659,3340961
660,4443014,660,4434603
661,3779210,661,3771278
662,3849241,662,3842298
663,2748462,663,2741769
664,3525831,664,3518998
665,2884764,665,2878153
666,3977001,666,3970579
667,4104343,667,4097913
668,2819696,668,2812038
669,3451700,669,3445732
670,3174507,670,3167885
671,2774261,671,2768292
672,3883555,672,3875416
673,3581127,673,3574592
674,3623942,674,3618137
675,3135298,675,3128280
676,2584789,676,2577622
677,4858668,677,4851404
678,4331216,678,4322039
679,4195096,679,4187903
680,3647794,680,3640100
681,4643577,681,4636024
682,3787230,682,3779794
683,3188591,683,3181979
684,3670600,684,3664108
685,3462796,685,3455812
686,3545528,686,3537027
687,2616113,687,2609412
688,3045720,688,3038268
689,3163482,689,3157960
690,2900384,690,2894117
691,3298665,691,3292586
692,2691144,692,2683822
693,3150648,693,3144781
694,2238551,694,2232844
695,5176948,695,5171481
696,4876019,696,4867714
697,4458973,697,4451451
698,4135452,698,4127973
699,2962611,699,2955343
700,3039414,700,3033410
701,4528939,701,4521039
702,3058120,702,3051498
703,4134795,703,4128363
